DATAFLOW,LAST UPDATE,freq,indic_bt,nace_r2,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1991-01,87.8,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1991-02,60.7,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1991-03,106.3,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1991-04,122.5,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1991-05,112.9,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1991-06,118.2,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1991-07,125.1,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1991-08,111.6,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1991-09,125.6,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1991-10,131.4,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1991-11,115.9,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1991-12,81.6,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1992-01,85.5,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1992-02,90.6,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1992-03,120.2,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1992-04,126.7,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1992-05,123.1,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1992-06,130.6,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1992-07,132.2,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1992-08,118.3,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1992-09,142.0,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1992-10,139.1,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1992-11,124.9,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1992-12,100.9,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1993-01,84.1,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1993-02,85.1,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1993-03,127.0,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1993-04,132.1,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1993-05,127.6,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1993-06,141.9,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1993-07,132.2,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1993-08,131.0,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1993-09,147.5,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1993-10,141.3,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1993-11,123.7,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1993-12,95.4,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1994-01,99.1,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1994-02,88.4,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1994-03,142.6,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1994-04,134.7,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1994-05,141.7,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1994-06,153.1,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1994-07,136.8,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1994-08,145.2,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1994-09,157.6,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1994-10,146.6,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1994-11,149.5,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1994-12,114.7,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1995-01,89.4,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1995-02,109.0,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1995-03,139.7,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1995-04,132.2,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1995-05,152.4,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1995-06,146.4,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1995-07,139.7,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1995-08,144.1,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1995-09,147.1,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1995-10,147.2,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1995-11,146.8,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1995-12,91.3,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1996-01,77.5,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1996-02,68.1,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1996-03,107.8,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1996-04,136.1,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1996-05,139.7,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1996-06,140.0,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1996-07,149.1,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1996-08,135.1,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1996-09,148.4,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1996-10,149.1,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1996-11,133.9,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1996-12,99.4,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1997-01,67.4,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1997-02,84.1,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1997-03,110.8,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1997-04,140.9,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1997-05,119.6,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1997-06,139.1,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1997-07,142.0,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1997-08,118.2,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1997-09,144.0,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1997-10,141.3,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1997-11,125.2,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1997-12,91.3,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1998-01,79.7,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1998-02,80.8,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1998-03,115.6,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1998-04,121.7,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1998-05,119.8,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1998-06,130.4,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1998-07,137.3,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1998-08,116.1,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1998-09,138.0,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1998-10,135.3,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1998-11,121.7,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1998-12,84.8,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1999-01,80.7,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1999-02,73.1,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1999-03,118.9,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1999-04,123.6,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1999-05,119.8,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1999-06,135.4,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1999-07,131.5,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1999-08,122.0,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1999-09,138.3,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1999-10,132.2,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1999-11,125.3,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1999-12,93.3,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2000-01,77.1,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2000-02,91.7,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2000-03,113.8,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2000-04,110.4,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2000-05,134.6,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2000-06,117.2,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2000-07,119.7,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2000-08,121.3,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2000-09,124.2,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2000-10,120.2,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2000-11,120.5,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2000-12,84.9,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2001-01,70.3,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2001-02,75.5,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2001-03,96.0,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2001-04,100.4,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2001-05,117.3,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2001-06,111.3,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2001-07,117.2,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2001-08,115.3,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2001-09,114.3,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2001-10,124.6,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2001-11,113.5,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2001-12,76.7,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2002-01,66.0,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2002-02,73.8,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2002-03,93.6,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2002-04,112.1,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2002-05,103.8,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2002-06,109.6,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2002-07,117.3,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2002-08,104.1,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2002-09,114.2,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2002-10,115.7,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2002-11,105.6,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2002-12,68.7,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2003-01,58.7,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2003-02,57.8,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2003-03,89.6,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2003-04,103.0,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2003-05,102.7,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2003-06,104.9,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2003-07,117.6,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2003-08,95.7,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2003-09,114.7,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2003-10,112.8,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2003-11,100.7,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2003-12,74.2,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2004-01,53.6,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2004-02,62.6,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2004-03,89.8,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2004-04,96.1,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2004-05,93.9,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2004-06,107.3,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2004-07,105.5,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2004-08,95.5,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2004-09,108.1,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2004-10,102.2,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2004-11,98.0,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2004-12,71.7,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2005-01,52.9,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2005-02,48.0,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2005-03,66.2,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2005-04,94.4,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2005-05,91.2,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2005-06,106.1,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2005-07,98.0,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2005-08,97.8,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2005-09,105.1,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2005-10,97.3,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2005-11,96.9,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2005-12,70.7,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2006-01,46.8,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2006-02,50.6,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2006-03,72.8,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2006-04,88.0,
